effectsizeID,study,author,year,study_id,comparison_id,comparison,drug_class,duration,potency,outcome,test_direction,cog_domain_lezak,data_format,g,st_err,quality
1,Aldenkamp 93_2193,Aldenkamp,1993,1,1,Carbamazepine v Withdrawal,Antiepileptic,Current + long-term,Low,Binary Choice Reaction: No. Correct,Positive,Attention,Paired,0.284193563,0.327642273,4
2,Aldenkamp 93_2193,Aldenkamp,1993,1,2,Carbamazepine v Withdrawal,Antiepileptic,Current + long-term,Low,Binary Choice Reaction: Reaction Time,Negative,Attention,Paired,-0.449358506,0.330200237,4
3,Aldenkamp 93_2193,Aldenkamp,1993,1,3,Carbamazepine v Withdrawal,Antiepileptic,Current + long-term,Low,Finger Tapping: Tapping Rate (dom. hand),Positive,Psychomotor Functioning,Paired,-0.684273163,0.335754226,4
4,Aldenkamp 93_2193,Aldenkamp,1993,1,4,Carbamazepine v Withdrawal,Antiepileptic,Current + long-term,Low,Finger Tapping: Tapping Rate (nondom. hand),Positive,Psychomotor Functioning,Paired,-0.262858632,0.327394803,4
5,Aldenkamp 93_2193,Aldenkamp,1993,1,5,Carbamazepine v Withdrawal,Antiepileptic,Current + long-term,Low,Serial Presentation: Figures,Positive,Attention,Paired,-0.578020981,0.33296862,4
6,Aldenkamp 93_2193,Aldenkamp,1993,1,6,Carbamazepine v Withdrawal,Antiepileptic,Current + long-term,Low,Serial Presentation: Words,Positive,Attention,Paired,-0.543536171,0.332160993,4
7,Aldenkamp 93_2193,Aldenkamp,1993,1,7,Carbamazepine v Withdrawal,Antiepileptic,Current + long-term,Low,Simple Motor Reaction (aud. dom. hand),Negative,Attention,Paired,-0.345259096,0.328455961,4
8,Aldenkamp 93_2193,Aldenkamp,1993,1,8,Carbamazepine v Withdrawal,Antiepileptic,Current + long-term,Low,Simple Motor Reaction (vis. dom. hand),Negative,Attention,Paired,-0.347285993,0.328485638,4
9,Aldenkamp 93_2193,Aldenkamp,1993,1,9,Carbamazepine v Withdrawal,Antiepileptic,Current + long-term,Low,Simultaneous Presentation: Figures,Positive,Attention,Paired,-0.56433659,0.332642427,4
10,Aldenkamp 93_2193,Aldenkamp,1993,1,10,Carbamazepine v Withdrawal,Antiepileptic,Current + long-term,Low,Simultaneous Presentation: Words Correct,Positive,Attention,Paired,-0.518544973,0.331605605,4
11,Aldenkamp 93_2193,Aldenkamp,1993,1,11,Carbamazepine v Withdrawal,Antiepileptic,Current + long-term,Low,Visual Searching Task: Errors,Negative,Attention,Paired,-0.121984204,0.32624282,4
12,Aldenkamp 93_2193,Aldenkamp,1993,1,12,Carbamazepine v Withdrawal,Antiepileptic,Current + long-term,Low,Visual Searching Task: Time (sec),Negative,Attention,Paired,-0.587684303,0.333203473,4
13,Aman 08_2484,Aman,2008,2,1,Risperidone v Placebo,Antipsychotic,Current + acute,Low,Analogue Classroom Task: Number Correct,Positive,Concept Formation & Reasoning,Independent,-0.303538187,0.319977212,6
14,Aman 08_2484,Aman,2008,2,2,Risperidone v Placebo,Antipsychotic,Current + long-term,Low,Analogue Classroom Task: Number Correct,Positive,Concept Formation & Reasoning,Independent,-0.43359945,0.321942392,6
15,Aman 08_2484,Aman,2008,2,3,Risperidone v Placebo,Antipsychotic,Current + acute,Low,Cancellation Task: (errors of) Commission,Negative,Perception,Independent,1.273016677,0.349994881,6
16,Aman 08_2484,Aman,2008,2,4,Risperidone v Placebo,Antipsychotic,Current + long-term,Low,Cancellation Task: (errors of) Commission,Negative,Perception,Independent,0.556869359,0.32442783,6
17,Aman 08_2484,Aman,2008,2,5,Risperidone v Placebo,Antipsychotic,Current + acute,Low,Cancellation Task: Correct Detections,Positive,Perception,Independent,1.050514897,0.485211008,6
18,Aman 08_2484,Aman,2008,2,6,Risperidone v Placebo,Antipsychotic,Current + long-term,Low,Cancellation Task: Correct Detections,Positive,Perception,Independent,0.691377284,0.467939223,6
19,Aman 08_2484,Aman,2008,2,7,Risperidone v Placebo,Antipsychotic,Current + acute,Low,Cancellation Task: (errors of)  Omission,Negative,Perception,Independent,0.871957888,0.333432444,6
20,Aman 08_2484,Aman,2008,2,8,Risperidone v Placebo,Antipsychotic,Current + long-term,Low,Cancellation Task:  (errors of) Omission,Negative,Perception,Independent,0.616362418,0.325840186,6
21,Aman 08_2484,Aman,2008,2,9,Risperidone v Placebo,Antipsychotic,Current + acute,Low,Dot Test: Difference,Negative,Attention,Independent,0.513327947,0.323481509,6
22,Aman 08_2484,Aman,2008,2,10,Risperidone v Placebo,Antipsychotic,Current + long-term,Low,Dot Test: Difference,Negative,Attention,Independent,-0.054488388,0.318138608,6
23,Aman 08_2484,Aman,2008,2,11,Risperidone v Placebo,Antipsychotic,Current + acute,Low,Purdue Pegboard: Both hands drops,Negative,Psychomotor Functioning,Independent,0.100866887,0.318287572,6
24,Aman 08_2484,Aman,2008,2,12,Risperidone v Placebo,Antipsychotic,Current + long-term,Low,Purdue Pegboard: Both hands drops,Negative,Psychomotor Functioning,Independent,-0.275303517,0.319641004,6
25,Aman 08_2484,Aman,2008,2,13,Risperidone v Placebo,Antipsychotic,Current + acute,Low,Purdue Pegboard: Both hands inserts,Positive,Psychomotor Functioning,Independent,0.359136417,0.320733846,6
26,Aman 08_2484,Aman,2008,2,14,Risperidone v Placebo,Antipsychotic,Current + long-term,Low,Purdue Pegboard: Both hands inserts,Positive,Psychomotor Functioning,Independent,0.4228097,0.321753507,6
27,Aman 08_2484,Aman,2008,2,15,Risperidone v Placebo,Antipsychotic,Current + acute,Low,Verbal Learning Task: Delayed Recall,Positive,Memory,Independent,-0.246337463,0.490168811,6
28,Aman 08_2484,Aman,2008,2,16,Risperidone v Placebo,Antipsychotic,Current + long-term,Low,Verbal Learning Task: Delayed Recall,Positive,Memory,Independent,0.876214847,0.512212271,6
29,Aman 08_2484,Aman,2008,2,17,Risperidone v Placebo,Antipsychotic,Current + acute,Low,Verbal Learning Task: Immediate Recall,Positive,Attention,Independent,0.312317291,0.439929769,6
30,Aman 08_2484,Aman,2008,2,18,Risperidone v Placebo,Antipsychotic,Current + long-term,Low,Verbal Learning Task: Immediate Recall,Positive,Attention,Independent,0.183769851,0.438114064,6
31,Aman 08_2484,Aman,2008,2,19,Risperidone v Placebo,Antipsychotic,Current + acute,Low,Verbal Learning Task: Recognition,Positive,Memory,Independent,1.217675994,0.561398645,6
32,Aman 08_2484,Aman,2008,2,20,Risperidone v Placebo,Antipsychotic,Current + long-term,Low,Verbal Learning Task: Recognition,Positive,Memory,Independent,0.513203263,0.523949614,6
33,Aman 09_2819,Aman,2009,3,1,Risperidone v Placebo,Antipsychotic,Current + acute,Low,CPT: (errors of) Commission,Negative,Attention,Paired,0.331728298,0.259234447,7
34,Aman 09_2819,Aman,2009,3,2,Risperidone v Placebo,Antipsychotic,Current + acute,Low,CPT: (errors of) Omission,Negative,Attention,Paired,-4.53E-02,0.251685333,7
35,Aman 09_2819,Aman,2009,3,3,Risperidone v Placebo,Antipsychotic,Current + acute,Low,GHT: Error Time,Negative,Psychomotor Functioning,Paired,0.336253911,0.25171646,7
36,Aman 09_2819,Aman,2009,3,4,Risperidone v Placebo,Antipsychotic,Current + acute,Low,Graduated Holes Task (GHT): Contacts,Negative,Psychomotor Functioning,Paired,0.523575275,0.262164049,7
37,Aman 09_2819,Aman,2009,3,5,Risperidone v Placebo,Antipsychotic,Current + acute,Low,Match-to-Sample (MTS) Task: Accuracy,Positive,Attention,Paired,1.56E-02,0.244131895,7
38,Aman 09_2819,Aman,2009,3,6,Risperidone v Placebo,Antipsychotic,Current + acute,Low,MTS: Longest Delay,Positive,Attention,Paired,-0.123783031,0.245159189,7
39,Aman 09_2819,Aman,2009,3,7,Risperidone v Placebo,Antipsychotic,Current + acute,Low,MTS: Mean Delay,Positive,Attention,Paired,2.18E-02,0.244147858,7
40,Aman 09_2819,Aman,2009,3,8,Risperidone v Placebo,Antipsychotic,Current + acute,Low,STRM: Accuracy,Positive,Attention,Paired,1.29E-02,0.251551734,7
41,Barrickman 91_3276,Barrickman,1991,4,1,Fluoxetine v Baseline,Antidepressant,Current + long-term,Low,CPT: (errors of) Commission,Negative,Attention,Paired,-0.382316474,0.228307417,3
42,Barrickman 91_3276,Barrickman,1991,4,2,Fluoxetine v Baseline,Antidepressant,Current + long-term,Low,CPT: (errors of) Omission,Negative,Attention,Paired,0.380119253,0.228210849,3
43,Barrickman 91_3276,Barrickman,1991,4,3,Fluoxetine v Baseline,Antidepressant,Current + long-term,Low,MFF: Errors,Negative,Executive Function,Paired,0.17797491,0.221610831,3
44,Barrickman 91_3276,Barrickman,1991,4,4,Fluoxetine v Baseline,Antidepressant,Current + long-term,Low,WISC-R: IQ,Positive,Intelligence,Paired,0.722885746,0.249057193,3
45,Beers 05_2414,Beers,2005,5,1,Amantadine v Control,Antiparkinson,Current + long-term,Low,Controlled Oral Word Association Test (COWAT),Positive,Executive Function,Independent,0.841147756,0.582832648,3
46,Beers 05_2414,Beers,2005,5,2,Amantadine v Control,Antiparkinson,Current + long-term,Low,N-Back 1,Positive,Attention,Independent,-0.619612165,0.572055369,3
47,Beers 05_2414,Beers,2005,5,3,Amantadine v Control,Antiparkinson,Current + long-term,Low,N-Back 2,Positive,Attention,Independent,-0.688446157,0.575074238,3
48,Beers 05_2414,Beers,2005,5,4,Amantadine v Control,Antiparkinson,Current + long-term,Low,Stroop Color/Word T-score,Positive,Attention,Independent,6.95E-02,0.559166484,3
49,Beers 05_2414,Beers,2005,5,5,Amantadine v Control,Antiparkinson,Current + long-term,Low,TOL-1: # sec,Negative,Executive Function,Independent,-0.222153822,0.56069545,3
50,Beers 05_2414,Beers,2005,5,6,Amantadine v Control,Antiparkinson,Current + long-term,Low,TOL-2: # moves,Negative,Executive Function,Independent,1.005108577,0.592736645,3
51,Beers 05_2414,Beers,2005,5,7,Amantadine v Control,Antiparkinson,Current + long-term,Low,TOL-2: # sec,Negative,Executive Function,Independent,1.672246552,0.648101377,3
52,Beers 05_2414,Beers,2005,5,8,Amantadine v Control,Antiparkinson,Current + long-term,Low,TOL-3: # moves,Negative,Executive Function,Independent,-0.405554412,0.564630108,3
